 ,name,region,district,difficulty,duration_days,max_altitude_m,min_altitude_m,total_distance_km,cost_min_usd,cost_max_usd,best_season,requires_permit,permit_type,permit_cost_usd,requires_guide,accommodation_type,cultural_score,nature_score,adventure_score,fitness_required,technical_skill,teahouse_available,camping_required,helicopter_rescue,nearest_hospital_km,route_type,avg_daily_walking_hrs,elevation_gain_m,elevation_loss_m,water_sources,mobile_network,atm_available,description,data_source
11,Annapurna Circuit,Annapurna,Manang|Mustang,Hard,18,5416,820,230,1200,2500,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.85,0.95,0.85,High,Basic,Yes,No,Yes,35,Circuit,6,5596,5596,Abundant,Partial,No,Classic circuit around Annapurna massif crossing Thorong La Pass,NTNC-ACAP
12,Annapurna Base Camp,Annapurna,Kaski,Moderate,10,4130,1070,115,700,1400,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.65,0.93,0.7,Moderate,Basic,Yes,No,Yes,25,Out-and-back,5,3060,3060,Abundant,Good,No,Trek into the Annapurna Sanctuary amphitheater,NTNC-ACAP
13,Poon Hill Trek,Annapurna,Kaski|Myagdi,Easy,5,3210,1070,55,400,800,Spring|Autumn|Winter,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.7,0.88,0.5,Low,Basic,Yes,No,Yes,20,Loop,5,2140,2140,Abundant,Good,No,Popular short trek with stunning sunrise views,NTNC-ACAP
14,Ghorepani Poon Hill,Annapurna,Kaski|Myagdi,Easy,4,3210,1070,45,350,700,Spring|Autumn|Winter,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.65,0.86,0.45,Low,Basic,Yes,No,Yes,18,Loop,5,2140,2140,Abundant,Good,No,Short classic trek through rhododendron forests,NTNC-ACAP
15,Mardi Himal Trek,Annapurna,Kaski,Moderate,7,4500,1100,55,600,1200,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.5,0.9,0.7,Moderate,Basic,Yes,No,Yes,22,Out-and-back,5,3400,3400,Moderate,Good,No,Off-the-beaten-path trek with close Machhapuchhre views,NTNC-ACAP
16,Khopra Ridge Trek,Annapurna,Myagdi,Moderate,9,3660,1070,75,700,1400,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.6,0.88,0.65,Moderate,Basic,Yes,No,Yes,28,Loop,5,2590,2590,Abundant,Partial,No,Less crowded alternative with Khayer Lake option,NTNC-ACAP
17,Mohare Danda Trek,Annapurna,Myagdi,Easy,6,3320,1070,50,500,900,Spring|Autumn|Winter,Yes,ACAP Entry + TIMS,50,No,Lodge,0.7,0.85,0.5,Low,Basic,Yes,No,Yes,25,Loop,5,2250,2250,Abundant,Partial,No,Community eco-trek with panoramic views,NTNC-ACAP
18,Royal Trek,Annapurna,Kaski,Easy,4,1730,900,35,350,600,Spring|Autumn|Winter,Yes,ACAP Entry + TIMS,50,No,Lodge,0.75,0.7,0.35,Low,Basic,Yes,No,Yes,15,Loop,4,830,830,Abundant,Good,Yes,Gentle trek made famous by Prince Charles visit,NTNC-ACAP
19,Sikles Trek,Annapurna,Kaski,Easy,5,2100,1000,40,400,750,Spring|Autumn|Winter,Yes,ACAP Entry + TIMS,50,No,Homestay,0.85,0.75,0.4,Low,Basic,Yes,No,Yes,18,Out-and-back,4,1100,1100,Abundant,Good,No,Cultural trek to largest Gurung village,NTNC-ACAP
20,Lwang Village Trek,Annapurna,Kaski,Easy,3,1800,1000,25,250,500,Year-round,Yes,ACAP Entry + TIMS,50,No,Homestay,0.8,0.7,0.3,Low,Basic,Yes,No,Yes,15,Out-and-back,4,800,800,Abundant,Good,No,Short tea village and Gurung culture experience,NTNC-ACAP
21,Tilicho Lake Trek,Annapurna,Manang,Hard,12,5020,2670,90,1000,2000,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.55,0.92,0.8,High,Basic,Yes,No,Yes,40,Side-trip,6,2350,2350,Moderate,Limited,No,Trek to one of world's highest altitude lakes,NTNC-ACAP
22,Nar Phu Valley Trek,Annapurna,Manang,Hard,14,5320,2670,120,1500,2800,Spring|Autumn,Yes,Restricted Area Permit + ACAP,100,Yes,Teahouse,0.9,0.88,0.75,High,Basic,Yes,No,Yes,45,Side-trip,6,2650,2650,Moderate,Limited,No,Hidden valley with ancient Tibetan Buddhist culture,NTNC-ACAP
23,Jomsom Muktinath Trek,Annapurna,Mustang,Moderate,8,3800,820,80,700,1400,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.9,0.8,0.55,Moderate,Basic,Yes,No,Yes,30,Out-and-back,5,2980,2980,Abundant,Good,Yes,Pilgrimage trek to sacred Muktinath temple,NTNC-ACAP
24,Upper Mustang Trek,Mustang,Mustang,Moderate,14,3840,2720,180,2500,4500,Spring|Autumn,Yes,Restricted Area Permit + ACAP,500,Yes,Lodge,0.98,0.75,0.6,Moderate,Basic,Yes,No,Yes,60,Out-and-back,5,1120,1120,Limited,Limited,No,Ancient forbidden kingdom with Tibetan Buddhist heritage,NTNC-ACAP
25,Lower Mustang Trek,Mustang,Mustang,Easy,6,2720,1200,60,600,1100,Spring|Autumn|Winter,Yes,ACAP Entry + TIMS,50,No,Lodge,0.85,0.75,0.4,Low,Basic,Yes,No,Yes,25,Out-and-back,5,1520,1520,Abundant,Good,No,Easy cultural trek in Thakali region,NTNC-ACAP
26,Naar Phu and Thorong La,Annapurna,Manang,Very Hard,18,5416,2670,180,2000,3500,Spring|Autumn,Yes,Restricted Area Permit + ACAP,100,Yes,Teahouse,0.85,0.9,0.9,Very High,Intermediate,Yes,No,Yes,50,Circuit,7,3746,3746,Moderate,Limited,No,Extended circuit combining Nar Phu with Thorong La crossing,NTNC-ACAP
27,Manaslu Circuit,Manaslu,Gorkha,Hard,16,5160,700,180,1400,2800,Spring|Autumn,Yes,Manaslu Conservation Area + TIMS,100,Yes,Teahouse,0.85,0.93,0.85,High,Basic,Yes,No,Yes,55,Circuit,6,4460,4460,Abundant,Limited,No,Remote circuit around world's 8th highest peak,NTNC-MCAP
28,Manaslu Base Camp,Manaslu,Gorkha,Very Hard,18,5200,700,160,1600,3000,Spring|Autumn,Yes,Manaslu Conservation Area + TIMS,100,Yes,Teahouse,0.7,0.95,0.9,Very High,Intermediate,Yes,No,Yes,60,Out-and-back,6,4500,4500,Moderate,Limited,No,Challenging trek to Manaslu's northern base,NTNC-MCAP
29,Tsum Valley Trek,Manaslu,Gorkha,Moderate,14,3700,700,130,1500,2500,Spring|Autumn,Yes,Restricted Area Permit + MCAP,35,Yes,Teahouse,0.95,0.85,0.6,Moderate,Basic,Yes,No,Yes,50,Out-and-back,5,3000,3000,Abundant,Limited,No,Sacred Himalayan pilgrimage valley,NTNC-MCAP
30,Manaslu and Tsum Valley,Manaslu,Gorkha,Hard,22,5160,700,210,2200,4000,Spring|Autumn,Yes,Restricted Area + MCAP,135,Yes,Teahouse,0.9,0.92,0.8,High,Basic,Yes,Yes,Yes,55,Circuit,6,4460,4460,Abundant,Limited,No,Combined Manaslu circuit with Tsum Valley extension,NTNC-MCAP
31,Ganesh Himal Trek,Ganesh Himal,Dhading,Moderate,12,4200,600,110,900,1700,Spring|Autumn,No,TIMS only,20,No,Teahouse,0.8,0.87,0.65,Moderate,Basic,Yes,No,Yes,40,Out-and-back,5,3600,3600,Abundant,Partial,No,Off-beaten-path trek with diverse ethnic cultures,Nepal Tourism Board
32,Ruby Valley Trek,Ganesh Himal,Dhading,Moderate,10,3800,600,90,850,1600,Spring|Autumn,No,TIMS only,20,No,Homestay,0.85,0.82,0.55,Moderate,Basic,Yes,No,Yes,35,Out-and-back,5,3200,3200,Abundant,Partial,No,Community trek through Tamang villages,Nepal Tourism Board
33,Langtang Valley Trek,Langtang,Rasuwa,Moderate,10,3870,1450,75,700,1400,Spring|Autumn,Yes,Langtang National Park + TIMS,50,No,Teahouse,0.75,0.9,0.65,Moderate,Basic,Yes,No,Yes,35,Out-and-back,5,2420,2420,Abundant,Partial,No,Beautiful glacial valley close to Kathmandu,DNPWC
34,Kyanjin Ri Trek,Langtang,Rasuwa,Moderate,11,4773,1450,80,750,1500,Spring|Autumn,Yes,Langtang National Park + TIMS,50,No,Teahouse,0.7,0.92,0.7,Moderate,Basic,Yes,No,Yes,38,Out-and-back,5,3323,3323,Abundant,Partial,No,Extended Langtang with panoramic viewpoint,DNPWC
35,Gosaikunda Trek,Langtang,Rasuwa,Moderate,8,4380,1450,60,600,1200,Spring|Autumn,Yes,Langtang National Park + TIMS,50,No,Teahouse,0.85,0.88,0.65,Moderate,Basic,Yes,No,Yes,30,Out-and-back,5,2930,2930,Abundant,Partial,No,Sacred alpine lakes pilgrimage,DNPWC
36,Langtang Gosaikunda Helambu,Langtang,Rasuwa|Sindhupalchowk,Hard,16,4610,1450,130,1100,2100,Spring|Autumn,Yes,Langtang National Park + TIMS,50,No,Teahouse,0.85,0.9,0.75,High,Basic,Yes,No,Yes,35,Traverse,6,3160,3160,Abundant,Partial,No,Classic trek combining three iconic regions,DNPWC
37,Helambu Trek,Helambu,Sindhupalchowk,Easy,7,3650,1400,55,500,900,Spring|Autumn|Winter,No,TIMS only,20,No,Teahouse,0.85,0.8,0.45,Low,Basic,Yes,No,Yes,25,Loop,5,2250,2250,Abundant,Good,No,Cultural trek through Sherpa and Tamang villages,Nepal Tourism Board
38,Tamang Heritage Trail,Langtang,Rasuwa,Easy,8,3700,1400,60,600,1100,Spring|Autumn|Winter,Yes,Langtang National Park + TIMS,50,No,Homestay,0.92,0.78,0.45,Low,Basic,Yes,No,Yes,30,Loop,5,2300,2300,Abundant,Partial,No,Cultural immersion in Tamang communities,DNPWC
39,Panch Pokhari Trek,Helambu,Sindhupalchowk,Moderate,9,4100,1400,70,700,1300,Spring|Autumn,No,TIMS only,20,No,Teahouse,0.8,0.85,0.6,Moderate,Basic,Yes,No,Yes,28,Out-and-back,5,2700,2700,Abundant,Partial,No,Five sacred lakes trek,Nepal Tourism Board
40,Ganja La Pass Trek,Langtang,Rasuwa,Very Hard,14,5122,1450,100,1500,2800,Spring|Autumn,Yes,Langtang National Park + TIMS,50,Yes,Teahouse,0.7,0.9,0.92,Very High,Advanced,Yes,Yes,Yes,40,Traverse,6,3672,3672,Moderate,Limited,No,Technical high pass crossing,DNPWC
41,Kanchenjunga Base Camp North,Kanchenjunga,Taplejung,Very Hard,22,5143,1200,220,2200,4000,Spring|Autumn,Yes,Kanchenjunga Conservation Area + TIMS,50,Yes,Teahouse,0.65,0.96,0.9,Very High,Intermediate,Yes,Yes,Yes,85,Out-and-back,7,3943,3943,Moderate,Limited,No,Remote trek to world's 3rd highest mountain north face,DNPWC
42,Kanchenjunga Base Camp South,Kanchenjunga,Taplejung,Very Hard,20,4700,1200,190,2000,3800,Spring|Autumn,Yes,Kanchenjunga Conservation Area + TIMS,50,Yes,Teahouse,0.6,0.95,0.88,Very High,Intermediate,Yes,Yes,Yes,80,Out-and-back,7,3500,3500,Moderate,Limited,No,Trek to Yalung glacier southern approach,DNPWC
43,Kanchenjunga Circuit,Kanchenjunga,Taplejung,Very Hard,28,5143,1200,290,3000,5500,Spring|Autumn,Yes,Kanchenjunga Conservation Area + TIMS,50,Yes,Teahouse,0.7,0.97,0.95,Very High,Advanced,Yes,Yes,Yes,90,Circuit,7,5943,5943,Moderate,Limited,No,Complete circumnavigation of Kanchenjunga massif,DNPWC
44,Makalu Base Camp,Makalu,Sankhuwasabha,Very Hard,22,5250,1400,210,2500,4500,Spring|Autumn,Yes,Makalu Barun National Park + TIMS,50,Yes,Teahouse,0.5,0.97,0.92,Very High,Intermediate,Yes,Yes,Yes,95,Out-and-back,7,3850,3850,Moderate,Limited,No,Remote trek to world's 5th highest peak,DNPWC
45,Makalu to Everest Traverse,Makalu,Sankhuwasabha|Solukhumbu,Very Hard,28,6180,1400,280,4000,7000,Spring|Autumn,Yes,Makalu Barun + Sagarmatha Parks,100,Yes,Camping,0.4,0.98,0.98,Very High,Advanced,Yes,Yes,Yes,100,Traverse,8,5780,5780,Limited,None,No,Epic high altitude traverse via West Col,DNPWC
46,Arun Valley Trek,Makalu,Sankhuwasabha,Moderate,14,3500,300,150,1000,1800,Spring|Autumn|Winter,Yes,Makalu Barun Buffer Zone,30,No,Teahouse,0.75,0.85,0.6,Moderate,Basic,Yes,No,Yes,50,Out-and-back,5,3200,3200,Abundant,Partial,No,Valley trek along Arun River,DNPWC
47,Dhaulagiri Circuit,Dhaulagiri,Myagdi,Very Hard,20,5360,1100,200,2800,5000,Spring|Autumn,Yes,ACAP + Special Permit,100,Yes,Camping,0.45,0.95,0.96,Very High,Advanced,Yes,Yes,Yes,70,Circuit,7,4260,4260,Limited,None,No,Challenging circuit of world's 7th highest,NTNC-ACAP
48,Dhaulagiri Base Camp,Dhaulagiri,Myagdi,Hard,14,4750,1100,120,1800,3200,Spring|Autumn,Yes,ACAP + Special Permit,100,Yes,Teahouse,0.4,0.93,0.85,High,Intermediate,Yes,Yes,Yes,60,Out-and-back,6,3650,3650,Moderate,Limited,No,Trek to the base of white mountain,NTNC-ACAP
49,Hidden Valley Trek,Dhaulagiri,Myagdi,Very Hard,18,5200,1100,160,2500,4500,Spring|Autumn,Yes,ACAP + Special Permit,100,Yes,Camping,0.5,0.94,0.92,Very High,Advanced,Yes,Yes,Yes,65,Extension,7,4100,4100,Limited,None,No,Remote high altitude valley exploration,NTNC-ACAP
50,Dolpo Circuit,Dolpo,Dolpa,Very Hard,28,5350,2850,300,4000,7000,Spring|Autumn,Yes,Restricted Area Permit,500,Yes,Camping,0.95,0.92,0.88,Very High,Intermediate,Yes,Yes,Yes,120,Circuit,6,2500,2500,Limited,None,No,Ancient Bon culture and pristine wilderness,DNPWC
51,Upper Dolpo Trek,Dolpo,Dolpa,Very Hard,25,5200,2850,260,4500,8000,Spring|Autumn,Yes,Restricted Area Permit,500,Yes,Camping,0.98,0.9,0.85,Very High,Intermediate,Yes,Yes,Yes,130,Circuit,6,2350,2350,Limited,None,No,Remote trek through ancient Bon kingdom,DNPWC
52,Lower Dolpo Trek,Dolpo,Dolpa,Hard,15,3730,1500,150,2500,4000,Spring|Autumn,Yes,Shey Phoksundo National Park,30,Yes,Camping,0.85,0.88,0.7,High,Basic,Yes,Yes,Yes,80,Out-and-back,5,2230,2230,Moderate,Limited,No,Trek to Nepal's deepest lake,DNPWC
53,Phoksundo Lake Trek,Dolpo,Dolpa,Moderate,12,3730,1500,120,1800,3000,Spring|Autumn,Yes,Shey Phoksundo National Park,30,No,Teahouse,0.8,0.9,0.65,Moderate,Basic,Yes,No,Yes,75,Out-and-back,5,2230,2230,Moderate,Limited,No,Trek to stunning turquoise Phoksundo Lake,DNPWC
54,Shey Gompa Trek,Dolpo,Dolpa,Very Hard,20,5000,1500,180,4000,6500,Spring|Autumn,Yes,Restricted Area Permit,500,Yes,Camping,0.95,0.88,0.82,Very High,Intermediate,Yes,Yes,Yes,100,Out-and-back,6,3500,3500,Limited,None,No,Spiritual trek to ancient Crystal Monastery,DNPWC
55,Rara Lake Trek,Rara,Mugu,Moderate,14,3710,960,160,1500,2800,Spring|Autumn,Yes,Rara National Park,30,Yes,Camping,0.7,0.92,0.6,Moderate,Basic,Yes,Yes,Yes,100,Out-and-back,5,2750,2750,Moderate,Limited,No,Trek to Nepal's largest lake,DNPWC
56,Rara via Jumla,Rara,Jumla|Mugu,Moderate,10,3710,2350,100,1200,2200,Spring|Autumn,Yes,Rara National Park,30,No,Camping,0.65,0.9,0.55,Moderate,Basic,Yes,Yes,Yes,80,Out-and-back,5,1360,1360,Moderate,Limited,No,Shorter approach to Rara from Jumla airstrip,DNPWC
57,Humla Limi Valley,Humla,Humla,Very Hard,22,4300,2000,200,3500,6000,Summer,Yes,Restricted Area Permit,500,Yes,Camping,0.9,0.85,0.8,Very High,Intermediate,Yes,Yes,Yes,150,Out-and-back,6,2300,2300,Limited,None,No,Remote trans-Himalayan valley trek,MOCTCA
58,Khaptad Trek,Khaptad,Doti|Bajhang,Moderate,10,3300,1500,90,1000,1800,Spring|Autumn,Yes,Khaptad National Park,30,No,Camping,0.85,0.82,0.55,Moderate,Basic,Yes,Yes,Yes,90,Out-and-back,5,1800,1800,Abundant,Limited,No,Sacred plateau with unique ecosystem,DNPWC
59,Api Base Camp,Api Himal,Darchula,Very Hard,18,4300,1600,160,2200,4000,Spring|Autumn,Yes,Api Nampa Conservation Area,30,Yes,Camping,0.6,0.9,0.85,Very High,Intermediate,Yes,Yes,Yes,130,Out-and-back,6,2700,2700,Moderate,Limited,No,Remote far west Nepal adventure,DNPWC
60,Saipal Base Camp,Saipal,Bajhang,Very Hard,20,4500,1600,180,2500,4500,Spring|Autumn,Yes,Special Permit,50,Yes,Camping,0.55,0.92,0.88,Very High,Intermediate,Yes,Yes,Yes,140,Out-and-back,6,2900,2900,Moderate,None,No,Extremely remote western Nepal peak,MOCTCA
61,Rolwaling Valley Trek,Rolwaling,Dolakha,Hard,14,4580,980,130,1500,2800,Spring|Autumn,Yes,Gaurishankar Conservation Area,30,Yes,Teahouse,0.7,0.93,0.8,High,Intermediate,Yes,Yes,Yes,65,Out-and-back,6,3600,3600,Moderate,Limited,No,Remote glacial valley with Tsho Rolpa lake,NTNC-GCAP
62,Tashi Lapcha Pass,Rolwaling,Dolakha|Solukhumbu,Very Hard,18,5755,980,160,2500,4500,Spring|Autumn,Yes,Gaurishankar + Sagarmatha,80,Yes,Camping,0.6,0.95,0.95,Very High,Advanced,Yes,Yes,Yes,70,Traverse,7,4775,4775,Limited,None,No,Technical high pass connecting Rolwaling to Khumbu,NTNC-GCAP
63,Tsho Rolpa Lake Trek,Rolwaling,Dolakha,Moderate,10,4580,980,90,1000,1800,Spring|Autumn,Yes,Gaurishankar Conservation Area,30,No,Teahouse,0.6,0.9,0.7,Moderate,Basic,Yes,No,Yes,60,Out-and-back,5,3600,3600,Moderate,Limited,No,Trek to glacial lake in Rolwaling,NTNC-GCAP
64,Kalinchowk Trek,Gaurishankar,Dolakha,Easy,3,3842,1500,30,300,600,Year-round,No,None,0,No,Lodge,0.8,0.75,0.4,Low,Basic,Yes,No,Yes,20,Out-and-back,4,2342,2342,Abundant,Good,Yes,Short pilgrimage trek to Kalinchowk temple,NTNC-GCAP
65,Sailung Trek,Gaurishankar,Dolakha,Easy,4,3200,1200,35,350,700,Year-round,No,None,0,No,Lodge,0.75,0.78,0.4,Low,Basic,Yes,No,Yes,25,Out-and-back,4,2000,2000,Abundant,Good,No,Short trek with panoramic Himalayan views,NTNC-GCAP
66,Namobuddha Dhulikhel Trek,Kathmandu Valley,Kavrepalanchowk,Easy,2,1750,1440,25,150,300,Year-round,No,None,0,No,Lodge,0.85,0.6,0.25,Low,Basic,Yes,No,Yes,10,Loop,4,310,310,Abundant,Good,Yes,Short cultural trek near Kathmandu,Nepal Tourism Board
67,Shivapuri Peak,Kathmandu Valley,Kathmandu,Easy,1,2732,1500,15,100,200,Year-round,Yes,Shivapuri National Park,10,No,None,0.5,0.75,0.4,Low,Basic,No,No,Yes,8,Out-and-back,5,1232,1232,Abundant,Good,Yes,Day hike in national park near Kathmandu,DNPWC
68,Chandragiri Hill,Kathmandu Valley,Kathmandu,Easy,1,2551,1400,8,100,200,Year-round,No,None,0,No,None,0.65,0.7,0.3,Low,Basic,No,No,Yes,5,Out-and-back,3,1151,1151,Abundant,Good,Yes,Cable car accessible viewpoint,Nepal Tourism Board
69,Nagarkot to Changunarayan,Kathmandu Valley,Bhaktapur,Easy,1,2175,1600,12,100,200,Year-round,No,None,0,No,None,0.8,0.65,0.3,Low,Basic,No,No,Yes,8,Point-to-point,4,575,575,Abundant,Good,Yes,Easy hike to UNESCO heritage site,Nepal Tourism Board
70,Champadevi Day Hike,Kathmandu Valley,Kathmandu,Easy,1,2285,1400,10,80,150,Year-round,No,None,0,No,None,0.6,0.7,0.35,Low,Basic,No,No,Yes,6,Out-and-back,4,885,885,Abundant,Good,Yes,Popular day hike from Kathmandu,Nepal Tourism Board
71,Jamacho Day Hike,Kathmandu Valley,Kathmandu,Easy,1,2128,1400,8,60,120,Year-round,Yes,Nagarjun Forest Reserve,5,No,None,0.7,0.7,0.3,Low,Basic,No,No,Yes,5,Out-and-back,3,728,728,Abundant,Good,Yes,Forest hike to Buddhist stupa,DNPWC
72,Phulchowki Day Hike,Kathmandu Valley,Lalitpur,Easy,1,2782,1500,14,80,160,Year-round,No,None,0,No,None,0.5,0.8,0.4,Low,Basic,No,No,Yes,10,Out-and-back,5,1282,1282,Abundant,Good,Yes,Highest point in Kathmandu Valley,Nepal Tourism Board
73,Sundarijal to Chisapani,Langtang,Kathmandu,Easy,2,2200,1400,18,200,400,Year-round,Yes,Shivapuri National Park,10,No,Teahouse,0.6,0.75,0.4,Low,Basic,Yes,No,Yes,12,Point-to-point,5,800,800,Abundant,Good,Yes,Gateway trek to Helambu region,DNPWC
74,Kakani Trek,Kathmandu Valley,Nuwakot,Easy,2,2073,1400,20,200,400,Year-round,No,None,0,No,Lodge,0.6,0.72,0.35,Low,Basic,Yes,No,Yes,15,Out-and-back,4,673,673,Abundant,Good,Yes,Easy hill station trek from Kathmandu,Nepal Tourism Board
75,Daman Trek,Central Nepal,Makwanpur,Easy,3,2322,1500,35,300,550,Year-round,No,None,0,No,Lodge,0.55,0.75,0.4,Low,Basic,Yes,No,Yes,25,Out-and-back,4,822,822,Abundant,Good,No,Panoramic viewpoint on Tribhuvan Highway,Nepal Tourism Board
76,Chisapani Nagarkot Trek,Helambu,Sindhupalchowk|Bhaktapur,Easy,3,2200,1500,28,300,500,Year-round,Yes,Shivapuri National Park,10,No,Teahouse,0.65,0.75,0.4,Low,Basic,Yes,No,Yes,15,Traverse,5,700,700,Abundant,Good,Yes,Popular short trek with mountain views,DNPWC
77,Kopan Monastery Trek,Kathmandu Valley,Kathmandu,Easy,1,1500,1350,6,60,120,Year-round,No,None,0,No,None,0.85,0.5,0.2,Low,Basic,No,No,Yes,3,Out-and-back,2,150,150,Abundant,Good,Yes,Short spiritual walk to famous monastery,Nepal Tourism Board
78,Lumbini Heritage Walk,Terai,Rupandehi,Easy,1,100,70,8,50,100,Winter|Spring,No,None,0,No,None,0.98,0.4,0.15,Low,Basic,No,No,Yes,2,Loop,3,30,30,Abundant,Good,Yes,UNESCO World Heritage birthplace of Buddha,MOCTCA
79,Chitwan Buffer Zone Trek,Terai,Chitwan,Easy,2,200,100,20,200,400,Winter|Spring,Yes,Chitwan National Park,25,No,Lodge,0.7,0.85,0.4,Low,Basic,Yes,No,Yes,5,Loop,4,100,100,Abundant,Good,Yes,Wildlife and village walk in buffer zone,DNPWC
80,Bardia Jungle Trek,Terai,Bardia,Easy,2,250,130,18,200,450,Winter|Spring,Yes,Bardia National Park,25,Yes,Lodge,0.6,0.88,0.5,Low,Basic,Yes,No,Yes,15,Loop,4,120,120,Abundant,Partial,No,Jungle walk in pristine western Terai,DNPWC
81,Tilicho Lake via Khangsar,Annapurna,Manang,Hard,4,5020,3500,35,400,800,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,Teahouse,0.5,0.92,0.78,High,Basic,Yes,No,Yes,50,Out-and-back,7,1520,1520,Limited,Limited,No,High altitude day trek from Manang,NTNC-ACAP
82,Ice Lake Trek,Annapurna,Manang,Moderate,1,4620,3500,12,150,300,Spring|Autumn,Yes,ACAP Entry + TIMS,50,No,None,0.4,0.88,0.65,Moderate,Basic,No,No,Yes,45,Out-and-back,6,1120,1120,Moderate,Limited,No,Day hike from Braga/Manang,NTNC-ACAP
